SiteID;SiteName;Longitude;Latitude;Elevation;Regione
373;Massa;10.140864;44.02502;43;Toscana
684;S. Miniato (Cimitero);10.831575;43.68402;42;Toscana
758;Nugola;10.439887;43.576948;42;Toscana
6906;ALGHERO;8.283;40.633;40;Aeronautica
74;Lentini città;14.998246;37.290823;40;Sicilia
6777;FIRENZE/PERETOLA;11.2;43.8;38;Aeronautica
9;Arenzano;8.67859;44.40416;36;Liguria
161;Albenga - Isolabella;8.17985;44.06866;34;Liguria
343;Sarzana;9.964;44.11378;33;Liguria
125;Botricello;16.85863889;38.94147222;32;Calabria
651;Empoli (Prunecchio);10.990628;43.711355;32;Toscana
6892;SIGONELLA;14.917;37.4;31;Aeronautica
177;Policoro;16.6533702214;40.1578978962;31;Basilicata
98;Messina Istituto Geofisico;15.554106;38.200472;31;Sicilia
6919;DECIMOMANNU;8.967;39.35;28;Aeronautica
331;Sant'Eufemia Lamezia;16.25222222;38.92138889;28;Calabria
73;Ciro' Marina;17.10944444;39.40777778;27;Calabria
147;Palermo Osservatorio Astronomico;13.350685;38.109161;27;Sicilia
6820;LATINA;12.9;41.55;26;Aeronautica
979;Orbetello;11.199832;42.429;26;Toscana
6891;CATANIA/SIGONELLA;14.917;37.4;22;Aeronautica
285;Ardea;12.5369;41.6117;22;Lazio
704;Castelmartini;10.832717;43.824472;22;Toscana
6822;PRATICA DI MARE;12.45;41.65;21;Aeronautica
6876;PALERMO/PUNTA RAISI;13.1;38.183;21;Aeronautica
6882;REGGIO CALABRIA;15.65;38.067;21;Aeronautica
7;Birgi Nuovo;12.495327;37.883963;21;Sicilia
6902;LAMPEDUSA;12.6;35.5;20;Aeronautica
333;Collegio Romano;12.4806;41.8986;19;Lazio
6893;CATANIA/FONTANAROSS;15.05;37.467;17;Aeronautica
289;Latina;12.9058;41.4714;17;Lazio
232;Lucca;10.5127;43.842185;17;Toscana
6870;LAMEZIA TERME;16.25;38.9;15;Aeronautica
6883;TRAPANI/BIRGI;12.5;37.917;14;Aeronautica
6910;OLBIA/COSTA SMERALD;9.517;40.9;13;Aeronautica
6858;MARINA DI GINOSA;16.883;40.433;12;Aeronautica
6;Alassio;8.1693;44.00624;12;Liguria
6810;PESCARA;14.2;42.433;11;Aeronautica
976;S. Donato;11.230903;42.53373;11;Toscana
6750;SARZANA/LUNI;9.983;44.083;10;Aeronautica
6827;GRAZZANISE;14.067;41.05;10;Aeronautica
6856;BRINDISI;17.95;40.65;10;Aeronautica
3;Albenga;8.21262;44.04899;10;Liguria
197;Siderno Marina;16.29852778;38.27405556;9;Calabria
870;Grosseto;11.117392;42.751393;9;Toscana
71;Ciro' Marina - Punta Alice;17.12611111;39.38416667;8;Calabria
78;Chiavari;9.3138;44.3167;8;Liguria
6794;GROSSETO;11.067;42.75;7;Aeronautica
276;Civitavecchia;11.7853;42.0967;7;Lazio
6773;PISA/S. GIUSTO;10.383;43.683;6;Aeronautica
847;Follonica;10.761711;42.923003;6;Toscana
6923;CAGLIARI/ELMAS;9.067;39.25;5;Aeronautica
355;Savona - Istituto Nautico;8.48305;44.3062;5;Liguria
9;Marsala;12.456187;37.810158;5;Sicilia
956;Alberese Idraulico;11.092726;42.695944;5;Toscana
474;Pisa (Fac. Agraria);10.413162;43.710727;4;Toscana
2032;CHIEUTI SCALO  (ex TORRE FANTINA);15.15597222;41.9215;3;Abruzzo
6819;ROMA FIUMICINO;12.233;41.8;3;Aeronautica
339;La Spezia;9.82819;44.10703;3;Liguria
763;Livorno;10.308738;43.552358;3;Toscana
312;Sanremo - Casino';7.77634;43.81484;2;Liguria
2;Trapani;12.506774;38.013603;2;Sicilia
392;Viareggio;10.241975;43.883021;2;Toscana
108;Crotone;17.13111111;39.08694444;1;Calabria
99;Ganzirri;15.608303;38.25589;1;Sicilia
1112;CATIGNANO;13.94527778;42.34611111;323;Abruzzo
1540;PESCARA;14.2425;42.44972222;2;Abruzzo
1932;GUARDIAGRELE;14.21444444;42.18722222;530;Abruzzo
1937;BELLANTE;13.80027778;42.74444444;276;Abruzzo
1938;ORTONA;14.405;42.34972222;51;Abruzzo
1940;LANCIANO;14.38444444;42.22583333;273;Abruzzo
1944;PESCASSEROLI;13.79222222;41.80944444;1304;Abruzzo
1946;BARREA;13.98777778;41.76027778;1061;Abruzzo
1950;CASTEL DI SANGRO;14.10805556;41.78111111;835;Abruzzo
1957;ROSELLO;14.3475;41.89916667;942;Abruzzo
1962;PALENA;14.1375;41.98388889;715;Abruzzo
1965;GESSOPALENA;14.27416667;42.05055556;615;Abruzzo
1975;MONTAZZOLI;14.42805556;41.94222222;792;Abruzzo
1979;SCERNI;14.63;42.11861111;98;Abruzzo
1982;VASTO;14.69833333;42.09972222;187;Abruzzo
1986;CHIAUCI;14.38566667;41.67777778;728;Abruzzo
1990;AGNONE;14.369;41.80777778;744;Abruzzo
1994;TRIVENTO;14.55233333;41.8;287;Abruzzo
2000;PALATA;14.78566667;41.89777778;381;Abruzzo
2003;TERMOLI;14.96888889;41.9825;59;Abruzzo
2010;ROCCAMANDOLFI;14.35222222;41.49444444;772;Abruzzo
2011;GUARDIAREGIA;14.53566667;41.43555556;629;Abruzzo
2014;CAMPOBASSO;14.65233333;41.55;697;Abruzzo
2022;CASTELMAURO;14.70233333;41.81666667;733;Abruzzo
2024;LARINO;14.919;41.80055556;418;Abruzzo
2029;PIETRACAMELA;13.55472222;42.52361111;1126;Abruzzo
2031;SERRACAPRIOLA;15.15222222;41.80944444;226;Abruzzo
2034;ROSETO VALFORTORE;15.08566667;41.37444444;598;Abruzzo
2037;VOLTURARA APPULA;15.05233333;41.51388889;529;Abruzzo
2039;CAMPOLIETO;14.7675;41.66388889;637;Abruzzo
2041;GAMBATESA;14.90233333;41.5;455;Abruzzo
2043;S.ELIA A PIANISI;14.88;41.62333333;603;Abruzzo
2062;ISOLA DEL G.SASSO  (PRETARA);13.665;42.48444444;516;Abruzzo
2071;NERETO;13.81277778;42.82194444;156;Abruzzo
2076;SILVI ALTA;14.0625;42.56222222;235;Abruzzo
2085;PENNE;13.9175;42.46444444;399;Abruzzo
2135;MONTEREALE;13.24138889;42.52611111;825;Abruzzo
2136;TERMINE;13.20777778;42.445;1040;Abruzzo
2137;GIULIANOVA;13.95277778;42.74805556;55;Abruzzo
2142;TORNIMPARTE;13.30166667;42.28861111;880;Abruzzo
2159;L'AQUILA;13.42861111;42.33416667;618;Abruzzo
2176;ASSERGI;13.51805556;42.41972222;1038;Abruzzo
2213;GORIANO SICOLI;13.79888889;42.08222222;904;Abruzzo
2224;SCANNO;13.8775;41.90694444;993;Abruzzo
2256;SANTO STEFANO;13.60277778;42.6475;734;Abruzzo
2274;BARISCIANO;13.57388889;42.32361111;932;Abruzzo
2279;SANT'EUFEMIA A MAIELLA;14.02583333;42.12055556;923;Abruzzo
2280;CARAMANICO METEO;14.01916667;42.15083333;785;Abruzzo
606;CHIETI;14.18305556;42.37694444;244;Abruzzo
6690;BOLZANO;11.333;46.467;241;Aeronautica
6694;AVIANO;12.6;46.033;128;Aeronautica
6695;AVIANO (USAF);12.617;46.017;126;Aeronautica
6700;UDINE/RIVOLTO;13.033;45.983;53;Aeronautica
6707;TORINO/CASELLE;7.65;45.217;287;Aeronautica
6710;NOVARA/CAMERI;8.667;45.517;169;Aeronautica
6711;MILANO/MALPENSA;8.733;45.617;211;Aeronautica
6717;BERGAMO/ORIO AL SER;9.7;45.667;237;Aeronautica
6718;MILANO/LINATE;9.283;45.433;103;Aeronautica
6720;PIACENZA;9.733;44.917;138;Aeronautica
6721;BRESCIA/GHEDI;10.283;45.417;97;Aeronautica
6723;VERONA/VILLAFRANCA;10.867;45.383;68;Aeronautica
6726;VICENZA;11.517;45.567;53;Aeronautica
6729;TREVISO/ISTRANA;12.1;45.683;46;Aeronautica
6730;TREVISO/S. ANGELO;12.183;45.65;23;Aeronautica
6733;VENEZIA/TESSERA;12.333;45.5;6;Aeronautica
6735;RONCHI DEI LEGIONAR;13.483;45.817;12;Aeronautica
6736;TRIESTE;13.75;45.65;20;Aeronautica
6763;BOLOGNA/BORGO PANIG;11.3;44.533;49;Aeronautica
6766;PUNTA MARINA;12.3;44.45;6;Aeronautica
6768;CERVIA;12.3;44.217;10;Aeronautica
6769;RIMINI;12.617;44.033;13;Aeronautica
6776;MONTE ARGENTARIO;11.167;42.383;631;Aeronautica
6779;AREZZO;11.85;43.467;249;Aeronautica
6782;FRONTONE;12.733;43.517;574;Aeronautica
6784;PERUGIA;12.5;43.083;205;Aeronautica
6787;FALCONARA;13.367;43.617;10;Aeronautica
6793;RADICOFANI;11.767;42.9;828;Aeronautica
6797;VITERBO;12.05;42.433;308;Aeronautica
6803;VIGNA DI VALLE;12.217;42.083;266;Aeronautica
6812;TERMOLI;15;42;44;Aeronautica
6826;CAMPOBASSO;14.65;41.567;807;Aeronautica
6828;MONTE S. ANGELO;15.95;41.7;844;Aeronautica
6849;POTENZA;15.8;40.633;843;Aeronautica
6851;GIOIA DEL COLLE;16.933;40.767;350;Aeronautica
6853;LATRONICO;16.017;40.083;896;Aeronautica
6863;BONIFATI;15.883;39.583;485;Aeronautica
6884;PRIZZI;13.433;37.717;1035;Aeronautica
98;Saint-Christophe_Aeroporto;7.363540173;45.73929977;549;Aosta
147;Lagonegro;15.7619997491;40.1341863273;666;Basilicata
48;Potenza;15.8108;40.6328;669;Basilicata
155;Bressanone;11.66787228;46.71744138;661;Bolzano
203;Bolzano;11.31283145;46.49768516;246;Bolzano
209;Bronzolo;11.31106644;46.40647893;227;Bolzano
211;Ora;11.30501735;46.34688548;318;Bolzano
30;Naturno;10.99117805;46.64766321;561;Bolzano
49;Merano - Quarazze;11.13656021;46.68805798;369;Bolzano
10;Montalto Uffugo;16.13055556;39.40111111;436;Calabria
15;Cecita;16.53777778;39.39994444;1173;Calabria
157;Palermiti;16.45286111;38.74919444;525;Calabria
160;Chiaravalle Centrale;16.40888889;38.67138889;551;Calabria
164;Serra San Bruno;16.31972222;38.56527778;926;Calabria
17;Acri;16.3935;39.48252778;746;Calabria
317;Tiriolo;16.50994444;38.93955556;523;Calabria
327;Nicastro - Bella;16.29944444;38.98555556;597;Calabria
338;Rogliano;16.32583333;39.18361111;665;Calabria
36;Fagnano Castello;16.05555556;39.56388889;504;Calabria
367;Lagonegro;15.79;40.11666667;888;Calabria
376;Albidona;16.46833333;39.92472222;675;Calabria
7;San Pietro in Guarano;16.31361111;39.34555556;766;Calabria
92;Trepido';16.69777778;39.18861111;1243;Calabria
138;TOLMEZZO;13.0225;46.4226;397;Friuli
15;TRAMONTI DI SOPRA;12.7889;46.3098;506;Friuli
160;RESIA PRATO;13.2957;46.3759;610;Friuli
174;GEMONA CANCIANE;13.1363;46.2656;189;Friuli
186;PINZANO;12.9492;46.1792;173;Friuli
211;SESTO AL REGHENA;12.8162;45.8475;13;Friuli
257;TALMASSONS;13.1159;45.9287;29;Friuli
267;CASTELLERIO;13.1875;46.1197;159;Friuli
269;MORUZZO;13.1269;46.1178;233;Friuli
273;PASIAN DI PRATO;13.1797;46.0523;104;Friuli
30;FRATTA VIVAIO FORESTALE;12.727;46.1785;289;Friuli
322;LIGNANO SABBIADORO;13.1212;45.6865;1;Friuli
334;GORIZIA PRESA C.B.P.I.;13.596;45.9341;49;Friuli
348;FOSSALON BONIFICA VITTORIA;13.4966;45.7341;1;Friuli
352;VEDRONZA;13.2562;46.2618;351;Friuli
36;PORDENONE LOCALITA' TORRE;12.6727;45.9682;29;Friuli
366;ATTIMIS BORGO FARIS;13.3179;46.1731;216;Friuli
389;CIVIDALE ISTITUTO AGRARIO;13.4182;46.0967;135;Friuli
409;MONFALCONE;13.5371;45.8068;9;Friuli
415;BORGO GROTTA GIGANTE;13.7644;45.7094;278;Friuli
416;OPICINA;13.7914;45.6842;327;Friuli
419;TRIESTE ISTITUTO NAUTICO;13.7646;45.6475;18;Friuli
420;SERVOLA;13.7829;45.6269;14;Friuli
275;Allumiere;11.9086;42.1578;568;Lazio
281;Leonessa;12.9536;42.5786;929;Lazio
282;Posticciola;12.9419;42.2336;626;Lazio
453;Bolsena;11.9722;42.6533;352;Lazio
458;Acquapendente;11.8769;42.7442;397;Lazio
1;Airole;7.54478;43.87309;208;Liguria
101;Colle di Nava;7.87331;44.08325;963;Liguria
11;Arlia;10.13459;44.26209;481;Liguria
118;Diga Val Noci;9.03475;44.49291;665;Liguria
151;Guinadi - Presa Verde;9.84836;44.41206;446;Liguria
160;Isola del Cantone;8.9586;44.645;388;Liguria
164;Isoverde;8.85822;44.53013;253;Liguria
171;Loco Carchelli;9.28601;44.55604;680;Liguria
199;Mignanego;8.93975;44.53978;339;Liguria
20;Balestrino;8.16945;44.12362;279;Liguria
203;Millesimo;8.20845;44.35964;529;Liguria
209;Monte Cappellino;8.95687;44.55062;618;Liguria
232;Osiglia Diga;8.19721;44.31071;646;Liguria
267;Pontremoli - S.S.Annunziata;9.88597;44.37014;290;Liguria
274;Presa Gordana;9.7998;44.34969;705;Liguria
288;Rialto;8.26437;44.22664;453;Liguria
293;Rovegno;9.2825;44.57594;686;Liguria
328;S. Michele;9.39401;44.42362;327;Liguria
332;S. Margherita Vara;9.65964;44.2747;225;Liguria
347;Statale;9.48235;44.34761;583;Liguria
363;Tigliolo;9.36156;44.44327;418;Liguria
38;Busalla;8.94892;44.5697;361;Liguria
380;Varese Ligure;9.58135;44.38425;441;Liguria
39;Bestagno;8.00035;43.9341;143;Liguria
4;Alpicella;8.52604;44.40667;440;Liguria
49;Cairo Montenotte;8.27494;44.38331;348;Liguria
66;Cichero;9.32118;44.41704;605;Liguria
68;Calice al Cornoviglio;9.83881;44.24392;426;Liguria
8;Colonia Arnaldi;9.18148;44.4084;494;Liguria
10;Asso;9.26203741;45.86992384;552;Lombardia
103;Ghedi;10.2631401;45.39806734;78;Lombardia
11;Azzate;8.79938835;45.77982168;325;Lombardia
156;Mantova;10.79530859;45.15842409;17;Lombardia
161;Milano_-_Brera;9.18902401;45.46482627;122;Lombardia
188;Pavia;9.15862316;45.19300797;81;Lombardia
239;S.Pellegrino_Terme;9.66626546;45.84532678;435;Lombardia
243;Salo;10.53539815;45.60067143;14;Lombardia
282;Venegono_Inferiore;8.90198654;45.73401399;338;Lombardia
31;Breno_Malegno;10.30308626;45.95820038;309;Lombardia
58;Cernusco_Sul_Naviglio;9.33375158;45.52649787;135;Lombardia
61;Chiari;9.92256995;45.51226515;130;Lombardia
80;Domodossola;8.30277355;46.11027493;267;Lombardia
101;Sant'Angelo in Vado;12.410222;43.666889;352;Marche
104;Urbino;12.636861;43.723278;471;Marche
108;Pergola;12.844062;43.568672;242;Marche
109;Fonte Avellana;12.726417;43.471085;690;Marche
110;Jesi;13.229972;43.531944;100;Marche
123;Arcevia;12.936685;43.497452;535;Marche
1400;Novafeltria;12.289552;43.890057;293;Marche
142;Montemonaco;13.32611;42.899452;995;Marche
152;Fano;13.053796;43.826328;7;Marche
1550;Mercatello;12.334831;43.644768;429;Marche
1670;Bargni;12.85288;43.748386000000004;273;Marche
19;Servigliano;13.498032;43.085857;197;Marche
29;Pesaro;12.89771;43.907555;9;Marche
605;Fabriano;12.904034;43.330273;354;Marche
608;Cingoli;13.19233;43.36224;790;Marche
609;Lornano;13.4187;43.29224;294;Marche
701;Ancona Torrette;13.449807;43.610954;5;Marche
702;Carpegna;12.340618;43.780575;715;Marche
2;Roccamandolfi;14.35;41.49;779;Molise
3;Campobasso Meteo;14.65;41.54;766;Molise
4;Trivento;14.54;41.76;510;Molise
5;Castelmauro;14.72;41.83;649;Molise
6;Gambatesa;14.91;41.5;577;Molise
8;Palata;14.78;41.88;487;Molise
9;Termoli;15.99;41.97;90;Molise
10;CUMIANA;7.390844;44.9637;325;Piemonte
11;VEROLENGO;8.01098;45.185042;165;Piemonte
12;LANZO;7.492759;45.2888;565;Piemonte
13;ALBANO VERCELLESE;8.388335;45.437997;155;Piemonte
14;BORGOFRANCO D'IVREA;7.847817;45.514302;282;Piemonte
15;CAMERI;8.693801;45.548011;152;Piemonte
159;TREISO;8.082034;44.677439;328;Piemonte
16;ALESSANDRIA LOBBI;8.704011;44.937081;88;Piemonte
163;BERGALLI;8.182114;44.406799;414;Piemonte
164;SOMERARO;8.51193;45.888993;365;Piemonte
18;DOMODOSSOLA;8.302292;46.103003;255;Piemonte
20;CASALE MONFERRATO;8.504171;45.13224;105;Piemonte
22;PINO TORINESE;7.765183;45.04134;490;Piemonte
26;MEUGLIANO;7.781619;45.473686;638;Piemonte
3;ACQUI TERME;8.479704;44.678664;198;Piemonte
32;BORGOMANERO;8.460267;45.688235;299;Piemonte
34;VARALLO;8.273839;45.819585;592;Piemonte
38;SOMANO;8.017379;44.540937;625;Piemonte
4;PRALORMO;7.912513;44.853681;307;Piemonte
40;MONTECHIARO D'ASTI;8.101097;45.00704;225;Piemonte
41;COSTIGLIOLE SALUZZO;7.495934;44.557648;442;Piemonte
43;AVIGLIANA;7.394816;45.093913;342;Piemonte
44;BORGONE;7.243961;45.11643;426;Piemonte
45;PIETRASTRETTA;7.054042;45.14194;732;Piemonte
46;FINIERE;6.966265;45.116951;1041;Piemonte
5;MONTALDO SCARAMPI;8.259033;44.829305;226;Piemonte
6;LUSERNA S. GIOVANNI;7.241162;44.812815;488;Piemonte
75;MASSERANO;8.255167;45.55791;239;Piemonte
8;BOVES;7.562019;44.335107;573;Piemonte
153;Erice;12.588026;38.036853;662;Sicilia
24;Piano del Leone;13.465549;37.670792;876;Sicilia
44;Petralia Sottana;14.093591;37.818103;1025;Sicilia
48;Enna;14.272487;37.56782;804;Sicilia
84;Nicolosi;15.02659;37.613601;674;Sicilia
87;Linguaglossa;15.144488;37.839333;512;Sicilia
91;Floresta;14.908035;37.986395;1266;Sicilia
365;Pontremoli Verdeno;9.875904;44.375872;256;Toscana
376;Retignano;10.271501;44.00502;372;Toscana
447;S. Marcello Pistoiese;10.789502;44.057041;610;Toscana
484;Stia;11.584922;43.861592;413;Toscana
508;Montepulciano;11.783248;43.093426;469;Toscana
584;Consuma;11.58661;43.786345;908;Toscana
712;Volterra;10.852279;43.412004;358;Toscana
751;Pontedera;10.631418;43.662873;17;Toscana
888;Siena Universita';11.332591;43.320104;312;Toscana
900;Cotorniano (Fattoria);11.140385;43.247463;500;Toscana
929;Pienza (Madonnina);11.679479;43.079112;455;Toscana
937;Castel del Piano;11.534185;42.893105;548;Toscana
970;Manciano;11.546264;42.584692;300;Toscana
6507;Pergine;11.236686;46.062297;475;Trentino
6510;Levico (Terme);11.304882;46.010585;502;Trentino
6534;Cles;11.031223;46.362003;665;Trentino
6538;Mezzolombardo;11.093366;46.214254;225;Trentino
1707;PESCOCOSTANZO;14.05888889;41.88805556;1371;Abruzzo
1951;ROCCARASO;14.08361111;41.85194444;1280;Abruzzo
1953;CAPRACOTTA;14.269;41.83944444;1422;Abruzzo
1999;CAMPOTOSTO;13.40638889;42.53611111;1392;Abruzzo
2198;ROCCA DI MEZZO;13.52055556;42.2025;1296;Abruzzo
2262;CASTEL DEL MONTE;13.72361111;42.36694444;1470;Abruzzo
6686;S. VALENTINO ALLA M;10.533;46.75;1461;Aeronautica
6693;DOBBIACO;12.217;46.733;1226;Aeronautica
6697;TARVISIO;13.583;46.5;778;Aeronautica
6709;TORINO/BRIC DELLA C;7.733;45.033;710;Aeronautica
6715;MONTE BISBINO;9.067;45.867;1322;Aeronautica
6749;PASSO DELLA CISA;9.933;44.433;1040;Aeronautica
6800;MONTE TERMINILLO;12.983;42.467;1875;Aeronautica
6836;TREVICO;15.233;41.05;1093;Aeronautica
6865;MONTE SCURO;16.4;39.333;1720;Aeronautica
31;Issime_Capoluogo;7.856239796;45.68730164;975;Aosta
105;Valgrisenche Diga;7.06073;45.618874;1832;Aosta
106;Gressoney-L.T. D'Ejola;7.8149;45.856062;1823;Aosta
102;S.Maddalena in Casies;12.24271916;46.83526049;1456;Bolzano
104;Diga di Valdaora Osservatore;12.0536567;46.75973668;1184;Bolzano
107;Anterselva di Mezzo Osservatore;12.10089661;46.86072197;1274;Bolzano
110;Predoi;12.09912721;47.03658867;1515;Bolzano
129;Brunico;11.93148052;46.8042795;824;Bolzano
134;Corvara in Badia;11.87326091;46.55041119;1540;Bolzano
135;La Villa in Badia Osservatore;11.90707588;46.5836304;1398;Bolzano
136;S.Cassiano Osservatore;11.93646221;46.56871313;1635;Bolzano
149;Terento;11.78557637;46.83445756;1437;Bolzano
150;Fundres;11.7029428;46.88718005;1151;Bolzano
153;Valles;11.62722014;46.84832903;1499;Bolzano
154;Luson Osservatore;11.76389069;46.74503124;1029;Bolzano
162;Valluzza Osservatore;11.66281009;46.62357402;1433;Bolzano
165;Lazfons;11.54613904;46.67240083;1180;Bolzano
176;Fi� allo Sciliar;11.50595194;46.51340578;804;Bolzano
177;Tires;11.52889197;46.4669645;1204;Bolzano
18;Silandro;10.78026981;46.62375473;684;Bolzano
197;Sarentino;11.3550613;46.64063165;976;Bolzano
199;Vanga Osservatore;11.39747258;46.55179495;1066;Bolzano
200;S.Genesio Atesino;11.32948489;46.53910662;1092;Bolzano
206;Nova Ponente;11.42685821;46.42048615;1416;Bolzano
212;Redagno;11.39682245;46.34654504;1531;Bolzano
219;Favogna di sotto Osservatore;11.1792626;46.27161823;1064;Bolzano
223;Sesto;12.34996391;46.70305366;1490;Bolzano
28;Vernago;10.84927965;46.73565796;1823;Bolzano
